return_id,issued_id,return_book_name,return_date,return_book_isbn
RS104,IS106,NULL,1/5/2024,NULL
RS105,IS107,NULL,3/5/2024,NULL
RS106,IS108,NULL,5/5/2024,NULL
RS107,IS109,NULL,7/5/2024,NULL
RS108,IS110,NULL,9/5/2024,NULL
RS109,IS111,NULL,11/5/2024,NULL
RS110,IS112,NULL,13/5/2024,NULL
RS111,IS113,NULL,15/5/2024,NULL
RS112,IS114,NULL,17/5/2024,NULL
RS113,IS115,NULL,19/5/2024,NULL
RS114,IS116,NULL,21/5/2024,NULL
RS115,IS117,NULL,23/5/2024,NULL
RS116,IS118,NULL,25/5/2024,NULL
RS117,IS119,NULL,27/5/2024,NULL
RS118,IS120,NULL,29/5/2024,NULL
